Date	Nom	Score	Erreurs
2019-12-23	hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-23	fegfzg	1/10	1,2,3,4,5,6,8,9,10
2019-12-23	hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-23	hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-23	hilal	2/10	1,2,3,4,6,7,9,10
2019-12-24	Hilal	4/10	1,3,6,7,9,10
2019-12-24	Hilal	7/10	6,9,10
2019-12-24	Hilal	0/10	1,2,3,4,5,6,7,8,9,10
2019-12-24	Hilal	4/10	1,2,3,4,5,7
2019-12-24	Hilal	7/10	1,2,3
2019-12-24	Hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-24	Hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-24	Hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-24	Hiall	3/10	1,2,3,6,7,9,10
2019-12-24	Hilal	1/10	1,2,3,4,5,6,7,9,10
2019-12-24	Hilal	4/10	1,3,6,7,9,10
2019-12-24	Hilal	1/10	1,2,3,4,5,6,7,9,10
2019-12-24	Hilal	0/0	1,2,3,4,5,6,7,8,9,10
2019-12-24	Hilal	1/10	1,2,3,4,5,6,8,9,10
2019-12-24	Hilal	4/10	1,2,3,4,5,6
2019-12-24	frfr	2/10	1,2,4,5,6,8,9,10
